pmid,pmcid,nihmsid,nctid,pub_title,authors,authors_lnames,authors_initials,orcid,authors_affil,pub_date,journal_short,journal_full,pubmed_tags
24569925,4259578,645222,,Retrospective evaluation of canine and feline maxillomandibular trauma cases. Comparison of lunar cycle and seasonality with non-maxillomandibular traumatic injuries (2003-2012).,B L Mulherin; C J Snyder; J W Soukup; S Hetzel,Mulherin; Snyder; Soukup; Hetzel,BL; CJ; JW; S,; ; ; ,; Christopher J. Snyder; DVM; DAVDC; Veterinary Dentistry and Oral Surgery; Department of Surgical Sciences; University of Wisconsin-Madison; School of Veterinary Medicine; 2015 Linden Drive; Madison; WI 53706; United States; Phone: +1 608 890 0906; Fax: +1 608 263 7930; E-mail: csnyderdvm@gmail.com.; ; ,2014-01-01,Vet Comp Orthop Traumatol,Veterinary and comparative orthopaedics and traumatology : V.C.O.T,UL1TR000427
27606952,,,,Normative Values of the Sport Concussion Assessment Tool 3 (SCAT3) in High School Athletes.,Traci R Snedden; Margaret Alison Brooks; Scott Hetzel; Tim McGuine,Snedden; Brooks; Hetzel; McGuine,TR; MA; S; T,; ; ; ,*School of Nursing; University of Wisconsin-Madison; Departments of †Orthopedics; and ‡Pediatrics; School of Medicine and Public Health; University of Wisconsin-Madison; Madison; WI; and §Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; WI.; ; ; ,2017-09-01,Clin J Sport Med,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,
24982703,4065553,,,Disordered eating; menstrual irregularity; and musculoskeletal injury in high school athletes: a comparison of oral contraceptive pill users and nonusers.,Jill M Thein-Nissenbaum; Kathleen E Carr; Scott Hetzel; Emily Dennison,Thein-Nissenbaum; Carr; Hetzel; Dennison,JM; KE; S; E,; ; ; ,Department of Orthopedics and Rehabilitation; University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin.; Departments of Family Medicine and Orthopedics and Rehabilitation; University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin.; Department of Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; Wisconsin.; University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin.,2014-07-01,Sports Health,Sports health,
27207403,,,,Restless Legs Syndrome Following Lung Transplantation: Prevalence and Relationship With Tacrolimus Exposure.,Nathan J Menninga; Kalynn A Rohde; Zachary W Schlei; Krista M Katers; Ashley K Weber; Marissa M Brokhof; Donald S Hawes; Kelly L Radford; Mary L Francois; Richard D Cornwell; Ruth Benca; Mary S Hayney; John M Dopp,Menninga; Rohde; Schlei; Katers; Weber; Brokhof; Hawes; Radford; Francois; Cornwell; Benca; Hayney; Dopp,NJ; KA; ZW; KM; AK; MM; DS; KL; ML; RD; R; MS; JM,; ; ; ; ; ; ; ; ; ; ; ; ,Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; University of Wisconsin Hospitals and Clinics; University of Wisconsin-Madison; Madison; WI; USA.; Division of Pulmonary and Critical Care Medicine; Department of Medicine; University of Wisconsin-Madison; Madison; WI; USA.; Wisconsin Sleep Center and Department of Psychiatry; School of Medicine and Public Health; University of Wisconsin-Madison; Madison; WI; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA.; Pharmacy Practice Division; School of Pharmacy; University of Wisconsin-Madison; Madison; WI; USA john.dopp@wisc.edu.,2016-06-01,Prog Transplant,Progress in transplantation (Aliso Viejo; Calif.),
30929469,,,,Comparison of Dorsal Dermal Fascial Fenestrations With Fasciotomy in an Acute Compartment Syndrome Model in the Foot.,Reuben Lufrano; Matt Nies; Beau Ebben; Scott Hetzel; Robert V O'Toole; Christopher J Doro,Lufrano; Nies; Ebben; Hetzel; O'Toole; Doro,R; M; B; S; RV; CJ,; ; ; ; ; ,1 University of Wisconsin; Department of Orthopedics and Rehabilitation; Madison; WI; USA.; 1 University of Wisconsin; Department of Orthopedics and Rehabilitation; Madison; WI; USA.; 1 University of Wisconsin; Department of Orthopedics and Rehabilitation; Madison; WI; USA.; 2 University of Wisconsin-Madison; Department of Biostatistics and Medical Informatics; Madison; WI; USA.; 3 R Adams Cowley Shock Trauma Center; Department of Orthopaedics; University of Maryland School of Medicine; Baltimore; MD; USA.; 1 University of Wisconsin; Department of Orthopedics and Rehabilitation; Madison; WI; USA.,2019-07-01,Foot Ankle Int,Foot &amp; ankle international,
28756789,,,,Antibiotic Overuse is a Major Risk Factor for Clostridium difficile Infection in Surgical Patients.,James T Bernatz; Nasia Safdar; Scott Hetzel; Paul A Anderson,Bernatz; Safdar; Hetzel; Anderson,JT; N; S; PA,; ; ; ,1Department of Orthopedics and Rehabilitative Medicine;University of Wisconsin School of Medicine &amp; Public Health;Madison;Wisconsin.; 2Department of Medicine;Division of Infectious Disease;University of Wisconsin School of Medicine &amp; Public Health;Madison;Wisconsin.; 4Department of Biostatistics and Medical Informatics;University of Wisconsin-Madison;Madison;Wisconsin.; 1Department of Orthopedics and Rehabilitative Medicine;University of Wisconsin School of Medicine &amp; Public Health;Madison;Wisconsin.,2017-10-01,Infect Control Hosp Epidemiol,Infection control and hospital epidemiology,
28279986,5389915,844554,,Comparison of the Diagnostic Utility of 4D-DSA with Conventional 2D- and 3D-DSA in the Diagnosis of Cerebrovascular Abnormalities.,C Sandoval-Garcia; P Yang; T Schubert; S Schafer; S Hetzel; A Ahmed; C Strother,Sandoval-Garcia; Yang; Schubert; Schafer; Hetzel; Ahmed; Strother,C; P; T; S; S; A; C,0000-0003-1418-3568; 0000-0002-6154-3602; 0000-0003-2373-5870; 0000-0002-6989-5215; 0000-0002-0244-2959; 0000-0001-7293-496X; 0000-0002-4235-8081,From the Departments of Neurological Surgery (C.S.-G.; A.A.) Sandovalgarcia@neurosurgery.wisc.edu.; Department of Neurosurgery (P.Y.); Changhai Hospital; Second Military Medical University; Shanghai; China.; Radiology (T.S.; C.S.).; Siemens Healthineers; USA (S.S.); Hoffman Estates; Illinois.; Biostatistics and Medical Informatics (S.H.); University of Wisconsin School of Medicine and Public Health; Madison; Wisconsin.; From the Departments of Neurological Surgery (C.S.-G.; A.A.).; Radiology (T.S.; C.S.).,2017-04-01,AJNR Am J Neuroradiol,AJNR. American journal of neuroradiology,
25060072,4477806,700212,,Protective equipment and player characteristics associated with the incidence of sport-related concussion in high school football players: a multifactorial prospective study.,Timothy A McGuine; Scott Hetzel; Michael McCrea; M Alison Brooks,McGuine; Hetzel; McCrea; Brooks,TA; S; M; MA,; ; ; ,Department of Orthopedics; University of Wisconsin-Madison; Madison; Wisconsin; USA tmcguine@uwhealth.org.; Department of Biostatistics and Medical Informatics; University of Wisconsin-Madison; Madison; Wisconsin; USA.; Departments of Neurosurgery and Neurology; Medical College of Wisconsin; Milwaukee; Wisconsin; USA.; Department of Orthopedics; University of Wisconsin-Madison; Madison; Wisconsin; USA.,2014-10-01,Am J Sports Med,The American journal of sports medicine,
27636914,5352553,808312,,Radiographic and Respiratory Effects of Growing Rods in Children With Spinal Muscular Atrophy.,Rachel L Lenhart; Sylvester Youlo; Mary K Schroth; Kenneth J Noonan; James McCarthy; David Mann; Scott Hetzel; Sarah A Sund; Matthew A Halanski,Lenhart; Youlo; Schroth; Noonan; McCarthy; Mann; Hetzel; Sund; Halanski,RL; S; MK; KJ; J; D; S; SA; MA,; ; ; ; ; ; ; ; ,Departments of *Biomedical Engineering ?Biostatistics and Medical Informatics †Orthopedics and Rehabilitation ‡Pediatrics; School of Medicine and Public Health; University of Wisconsin-Madison; Madison; WI §Pediatric Orthopedic Surgery; Cincinnati Children's Hospital Medical Center; Cincinnati; OH.; ; ; ; ; ; ; ; ,2017-12-01,J Pediatr Orthop,Journal of pediatric orthopedics,
28327065,,,,The Influence of Axial Grooves on Dislodgment Resistance of Prosthetic Metal Crowns in Maxillary Fourth Premolar Teeth of Dogs.,Stephanie Goldschmidt; Caitlyn J Collins; Scott Hetzel; Heidi-Lynn Ploeg; Jason W Soukup,Goldschmidt; Collins; Hetzel; Ploeg; Soukup,S; CJ; S; HL; JW,; ; ; ; ,1 Dentistry and Oral Surgery; Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin-Madison; Madison; WI; USA.; 2 Bone and Joint Biomechanics Lab; Department of Mechanical Engineering; College of Engineering; University of Wisconsin-Madison; Madison; WI; USA.; 3 Department of Biostatistics and Medical Informatics; School of Medicine and Public Health; University of Wisconsin-Madison; Madison; WI; USA.; 2 Bone and Joint Biomechanics Lab; Department of Mechanical Engineering; College of Engineering; University of Wisconsin-Madison; Madison; WI; USA.; 1 Dentistry and Oral Surgery; Department of Surgical Sciences; School of Veterinary Medicine; University of Wisconsin-Madison; Madison; WI; USA.,2016-09-01,J Vet Dent,Journal of veterinary dentistry,
